rep,method,k,n,h,value
14,LP0,1,200,0.05,34.90191809561218
14,LP1,1,200,0.05,34.90191809561218
14,SPARR,1,200,0.05,10.958497467719008
14,LP0,1,200,0.06999999999999999,3.7758447468881218
14,LP1,1,200,0.06999999999999999,44.488546248951245
14,SPARR,1,200,0.06999999999999999,7.603301855673752
14,LP0,1,200,0.09,5.259027273791379
14,LP1,1,200,0.09,14.429489682968576
14,SPARR,1,200,0.09,6.548900779199916
14,LP0,1,200,0.11,3.47043514844907
14,LP1,1,200,0.11,7.047620820420791
14,SPARR,1,200,0.11,6.5036732673851985
14,LP0,1,200,0.13,5.882060265187777
14,LP1,1,200,0.13,2.4588370793188385
14,SPARR,1,200,0.13,7.0721666059669746
14,LP0,1,200,0.15000000000000002,5.831253702957556
14,LP1,1,200,0.15000000000000002,2.9453485057195272
14,SPARR,1,200,0.15000000000000002,8.00842158691354
14,LP0,1,200,0.17,4.683582265965364
14,LP1,1,200,0.17,5.6339398341385785
14,SPARR,1,200,0.17,9.154396426985963
14,LP0,1,200,0.19,3.3022911924368
14,LP1,1,200,0.19,11.410398602151211
14,SPARR,1,200,0.19,10.404497447488014
14,LP0,1,200,0.21000000000000002,3.559112633021035
14,LP1,1,200,0.21000000000000002,7.805955712643608
14,SPARR,1,200,0.21000000000000002,11.68250482037378
14,LP0,1,200,0.23,6.519969607246108
14,LP1,1,200,0.23,0.8769365302741907
14,SPARR,1,200,0.23,12.930411816302547
14,LP0,1,200,0.25,8.464404451252404
14,LP1,1,200,0.25,0.20462994297415446
14,SPARR,1,200,0.25,14.103558558315079
15,LP0,1,200,0.01,34.90191809561218
15,LP1,1,200,0.01,34.90191809561218
15,SPARR,1,200,0.01,26.98872564113235
15,LP0,1,200,0.03,20.235705502138977
15,LP1,1,200,0.03,58.20027010926434
15,SPARR,1,200,0.03,0.10255750369767604
15,LP0,1,200,0.05,3.1446316049381084
15,LP1,1,200,0.05,84.68838548980547
15,SPARR,1,200,0.05,4.613170902012153
15,LP0,1,200,0.06999999999999999,3.7758447468881218
15,LP1,1,200,0.06999999999999999,90.74813332322229
15,SPARR,1,200,0.06999999999999999,8.752021613783839
15,LP0,1,200,0.09,12.236699789361259
15,LP1,1,200,0.09,37.30702118127794
15,SPARR,1,200,0.09,9.488894459799182
15,LP0,1,200,0.11,18.40268328991913
15,LP1,1,200,0.11,10.66688276654979
15,SPARR,1,200,0.11,9.355497928661425
15,LP0,1,200,0.13,9.034296710075072
15,LP1,1,200,0.13,5.250303349845907
15,SPARR,1,200,0.13,9.392782181044142
